2002/04/06_22:27:22	Random seed is: (35, 124, 36)
2002/04/06_22:27:22	Hi There
2002/04/06_22:27:22	>>>>>>>>>>>>>>>> BEGINNING TESTS
2002/04/06_22:27:23	Stopping Cluster Manager on all nodes
2002/04/06_22:27:28	Starting Cluster Manager on all nodes
2002/04/06_22:27:45	Running test flip (sgi1)	[1]
2002/04/06_22:28:26	Running test SimulStart (sgi2)	[2]
2002/04/06_22:28:45	Running test flip (sgi1)	[3]
2002/04/06_22:29:26	Running test Stonith (sgi1)	[4]
2002/04/06_22:31:59	Running test SimulStart (sgi2)	[5]
2002/04/06_22:32:24	Running test standby (sgi1)	[6]
2002/04/06_22:32:30	Running test Stonith (sgi1)	[7]
2002/04/06_22:35:04	Running test flip (sgi1)	[8]
2002/04/06_22:35:46	Running test SimulStart (sgi2)	[9]
2002/04/06_22:36:05	Running test standby (sgi1)	[10]
2002/04/06_22:36:17	Running test flip (sgi2)	[11]
2002/04/06_22:36:58	Running test SimulStart (sgi2)	[12]
2002/04/06_22:37:17	Running test SimulStart (sgi1)	[13]
2002/04/06_22:37:41	Running test Restart (sgi1)	[14]
2002/04/06_22:38:27	Running test standby (sgi2)	[15]
2002/04/06_22:38:34	Running test flip (sgi2)	[16]
2002/04/06_22:39:15	Running test SimulStart (sgi2)	[17]
2002/04/06_22:39:33	Running test Stonith (sgi1)	[18]
2002/04/06_22:42:06	Running test SimulStart (sgi1)	[19]
2002/04/06_22:42:29	Running test Stonith (sgi2)	[20]
2002/04/06_22:44:58	Running test Stonith (sgi1)	[21]
2002/04/06_22:47:29	Running test Stonith (sgi1)	[22]
2002/04/06_22:50:04	Running test Stonith (sgi1)	[23]
2002/04/06_22:52:38	Running test flip (sgi1)	[24]
2002/04/06_22:53:19	Running test SimulStart (sgi2)	[25]
2002/04/06_22:53:38	Running test SimulStart (sgi2)	[26]
2002/04/06_22:54:05	Running test standby (sgi1)	[27]
2002/04/06_22:54:12	Running test flip (sgi1)	[28]
2002/04/06_22:54:53	Running test Stonith (sgi1)	[29]
2002/04/06_22:57:27	Running test SimulStart (sgi2)	[30]
2002/04/06_22:57:53	Running test Restart (sgi2)	[31]
2002/04/06_22:58:37	Running test SimulStart (sgi1)	[32]
2002/04/06_22:59:03	Running test flip (sgi1)	[33]
2002/04/06_22:59:45	Running test flip (sgi1)	[34]
2002/04/06_22:59:52	Running test Stonith (sgi1)	[35]
2002/04/06_23:02:24	Running test Stonith (sgi1)	[36]
2002/04/06_23:04:57	Running test flip (sgi1)	[37]
2002/04/06_23:05:38	Running test standby (sgi2)	[38]
2002/04/06_23:05:52	Running test flip (sgi1)	[39]
2002/04/06_23:05:59	Running test standby (sgi1)	[40]
2002/04/06_23:06:06	Running test standby (sgi2)	[41]
2002/04/06_23:06:13	Running test Stonith (sgi2)	[42]
2002/04/06_23:08:37	Running test SimulStart (sgi1)	[43]
2002/04/06_23:09:04	Running test Stonith (sgi1)	[44]
2002/04/06_23:11:36	Running test standby (sgi1)	[45]
2002/04/06_23:11:42	Running test flip (sgi2)	[46]
2002/04/06_23:12:22	Running test Stonith (sgi2)	[47]
2002/04/06_23:14:43	Running test SimulStart (sgi2)	[48]
2002/04/06_23:15:10	Running test standby (sgi2)	[49]
2002/04/06_23:15:17	Running test flip (sgi2)	[50]
2002/04/06_23:15:57	Running test SimulStart (sgi1)	[51]
2002/04/06_23:16:16	Running test standby (sgi1)	[52]
2002/04/06_23:16:27	Running test SimulStart (sgi2)	[53]
2002/04/06_23:16:53	Running test Stonith (sgi1)	[54]
2002/04/06_23:19:26	Running test SimulStart (sgi1)	[55]
2002/04/06_23:19:50	Running test flip (sgi2)	[56]
2002/04/06_23:20:30	Running test SimulStart (sgi1)	[57]
2002/04/06_23:20:50	Running test flip (sgi1)	[58]
2002/04/06_23:21:32	Running test Restart (sgi1)	[59]
2002/04/06_23:22:18	Running test SimulStart (sgi2)	[60]
2002/04/06_23:22:43	Running test Restart (sgi2)	[61]
2002/04/06_23:23:27	Running test Restart (sgi2)	[62]
2002/04/06_23:24:12	Running test Restart (sgi2)	[63]
2002/04/06_23:24:57	Running test Stonith (sgi1)	[64]
2002/04/06_23:27:29	Running test SimulStart (sgi2)	[65]
2002/04/06_23:27:52	Running test standby (sgi2)	[66]
2002/04/06_23:27:59	Running test SimulStart (sgi1)	[67]
2002/04/06_23:28:25	Running test SimulStart (sgi2)	[68]
2002/04/06_23:28:49	Running test Restart (sgi2)	[69]
2002/04/06_23:29:35	Running test Restart (sgi1)	[70]
2002/04/06_23:30:20	Running test flip (sgi2)	[71]
2002/04/06_23:31:00	Running test Restart (sgi1)	[72]
2002/04/06_23:31:48	Running test Stonith (sgi2)	[73]
2002/04/06_23:34:11	Running test flip (sgi1)	[74]
2002/04/06_23:34:53	Running test flip (sgi2)	[75]
2002/04/06_23:35:27	Running test Restart (sgi1)	[76]
2002/04/06_23:37:12	Running test flip (sgi1)	[77]
2002/04/06_23:37:19	Running test flip (sgi2)	[78]
2002/04/06_23:38:00	Running test flip (sgi1)	[79]
2002/04/06_23:38:34	Running test standby (sgi1)	[80]
2002/04/06_23:38:34	Running test flip (sgi1)	[81]
2002/04/06_23:39:11	Running test Stonith (sgi1)	[82]
2002/04/06_23:42:09	Running test Restart (sgi2)	[83]
2002/04/06_23:43:21	Running test SimulStart (sgi1)	[84]
2002/04/06_23:43:40	Running test Restart (sgi2)	[85]
2002/04/06_23:44:25	Running test SimulStart (sgi2)	[86]
2002/04/06_23:44:49	Running test Restart (sgi1)	[87]
2002/04/06_23:45:33	Running test standby (sgi2)	[88]
2002/04/06_23:45:40	Running test Stonith (sgi1)	[89]
2002/04/06_23:48:12	Running test standby (sgi2)	[90]
2002/04/06_23:48:19	Running test Restart (sgi2)	[91]
2002/04/06_23:49:05	Running test Stonith (sgi1)	[92]
2002/04/06_23:51:39	Running test standby (sgi1)	[93]
2002/04/06_23:51:45	Running test SimulStart (sgi2)	[94]
2002/04/06_23:52:10	Running test flip (sgi1)	[95]
2002/04/06_23:52:51	Running test flip (sgi2)	[96]
2002/04/06_23:53:24	Running test SimulStart (sgi2)	[97]
2002/04/06_23:53:41	Running test Stonith (sgi2)	[98]
2002/04/06_23:56:05	Running test flip (sgi1)	[99]
2002/04/06_23:56:47	Running test standby (sgi1)	[100]
2002/04/06_23:56:50	Running test SimulStart (sgi1)	[101]
2002/04/06_23:57:11	Running test flip (sgi1)	[102]
2002/04/06_23:57:53	Running test Restart (sgi2)	[103]
2002/04/06_23:59:04	Running test flip (sgi2)	[104]
2002/04/06_23:59:39	Running test SimulStart (sgi1)	[105]
2002/04/06_23:59:55	Running test flip (sgi1)	[106]
2002/04/07_00:00:36	Running test SimulStart (sgi2)	[107]
2002/04/07_00:00:56	Running test standby (sgi2)	[108]
2002/04/07_00:01:02	Running test standby (sgi2)	[109]
2002/04/07_00:01:08	Running test flip (sgi1)	[110]
2002/04/07_00:01:50	Running test SimulStart (sgi1)	[111]
2002/04/07_00:02:09	Running test SimulStart (sgi1)	[112]
2002/04/07_00:02:34	Running test SimulStart (sgi1)	[113]
2002/04/07_00:02:59	Running test SimulStart (sgi2)	[114]
2002/04/07_00:03:24	Running test Restart (sgi1)	[115]
2002/04/07_00:04:10	Running test SimulStart (sgi1)	[116]
2002/04/07_00:04:34	Running test flip (sgi2)	[117]
2002/04/07_00:05:14	Running test Restart (sgi2)	[118]
2002/04/07_00:06:02	Running test Stonith (sgi1)	[119]
2002/04/07_00:08:34	Running test SimulStart (sgi1)	[120]
2002/04/07_00:08:57	Running test Restart (sgi1)	[121]
2002/04/07_00:09:43	Running test SimulStart (sgi1)	[122]
2002/04/07_00:10:08	Running test Restart (sgi1)	[123]
2002/04/07_00:10:54	Running test SimulStart (sgi2)	[124]
2002/04/07_00:11:18	Running test Stonith (sgi2)	[125]
2002/04/07_00:13:44	Running test standby (sgi2)	[126]
2002/04/07_00:13:50	Running test Stonith (sgi1)	[127]
2002/04/07_00:16:20	Running test standby (sgi2)	[128]
2002/04/07_00:16:28	Running test flip (sgi2)	[129]
2002/04/07_00:17:11	Running test SimulStart (sgi2)	[130]
2002/04/07_00:17:30	Running test Stonith (sgi1)	[131]
2002/04/07_00:20:07	Running test SimulStart (sgi1)	[132]
2002/04/07_00:20:32	Running test Restart (sgi2)	[133]
2002/04/07_00:21:18	Running test standby (sgi1)	[134]
2002/04/07_00:21:25	Running test SimulStart (sgi2)	[135]
2002/04/07_00:21:51	Running test Restart (sgi1)	[136]
2002/04/07_00:22:36	Running test SimulStart (sgi1)	[137]
2002/04/07_00:23:02	Running test flip (sgi1)	[138]
2002/04/07_00:23:43	Running test flip (sgi2)	[139]
2002/04/07_00:24:16	Running test flip (sgi1)	[140]
2002/04/07_00:24:53	Running test Restart (sgi1)	[141]
2002/04/07_00:26:05	Running test Restart (sgi2)	[142]
2002/04/07_00:26:53	Running test Restart (sgi2)	[143]
2002/04/07_00:27:37	Running test Stonith (sgi1)	[144]
2002/04/07_00:30:10	Running test Stonith (sgi1)	[145]
2002/04/07_00:32:44	Running test SimulStart (sgi2)	[146]
2002/04/07_00:33:07	Running test flip (sgi1)	[147]
2002/04/07_00:33:48	Running test flip (sgi1)	[148]
2002/04/07_00:33:55	Running test standby (sgi2)	[149]
2002/04/07_00:34:02	Running test standby (sgi1)	[150]
2002/04/07_00:34:11	Running test flip (sgi1)	[151]
2002/04/07_00:34:52	Running test Restart (sgi2)	[152]
2002/04/07_00:35:40	Running test flip (sgi1)	[153]
2002/04/07_00:36:21	Running test standby (sgi1)	[154]
2002/04/07_00:36:24	Running test Stonith (sgi1)	[155]
2002/04/07_00:38:56	Running test Restart (sgi2)	[156]
2002/04/07_00:39:41	Running test Restart (sgi1)	[157]
2002/04/07_00:40:26	Running test flip (sgi2)	[158]
